path,target,pred,confidence
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1105_r05_c06.jpg,B,E,0.9674
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1106_r05_c06.jpg,B,E,0.9635
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1107_r05_c06.jpg,B,E,0.9637
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1108_r05_c06.jpg,B,E,0.9668
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1109_r05_c06.jpg,B,E,0.9739
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1110_r05_c06.jpg,B,E,0.9540
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1111_r05_c06.jpg,B,E,0.9672
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1112_r05_c06.jpg,B,E,0.9513
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1113_r05_c06.jpg,B,E,0.9707
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1114_r05_c06.jpg,B,E,0.9569
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1115_r05_c06.jpg,B,E,0.9583
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1116_r05_c06.jpg,B,E,0.9670
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1117_r05_c06.jpg,B,E,0.9572
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1118_r05_c06.jpg,B,E,0.9557
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1119_r05_c06.jpg,B,E,0.9759
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1120_r05_c06.jpg,B,E,0.9418
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1121_r03_c15.jpg,B,W,0.9248
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1121_r05_c06.jpg,B,E,0.9443
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1122_r03_c15.jpg,B,W,0.9150
D:\Codes\Data\Gomrade\dataset2\patches\B\Corsolini-Carta_MLC_1122_r05_c06.jpg,B,E,0.9673
